CM_Id,BankName,Type,CharterType,Headquarters,FailureDate,InsuranceFund,TransactionType,TotalDeposits,TotalAssets
CM-102,bank of america trust co.,COMMERCIAL BANK,STATE,"PITTSBURGH, PA",4/19/1934,FDIC,PAYOUT,1064,1435
CM-103,fon du lac state bank,COMMERCIAL BANK,STATE,"EAST PEORIA, IL",5/28/1934,FDIC,PAYOUT,238,374
CM-104,first national bank of lima,COMMERCIAL BANK,FEDERAL,"LIMA, MT",7/18/1934,FDIC,PAYOUT,42,91
CM-105,florence deposit bank,COMMERCIAL BANK,STATE,"FLORENCE, IN",7/18/1934,FDIC,PAYOUT,69,105
CM-106,bank of lewisport,COMMERCIAL BANK,STATE,"LEWISPORT, KY",8/6/1934,FDIC,PAYOUT,68,81
CM-107,farmers state bank of bongards,COMMERCIAL BANK,STATE,"BONGARDS, MN",9/13/1934,FDIC,PAYOUT,73,91
CM-108,farmers & traders bank,COMMERCIAL BANK,STATE,"PORTERFIELD, WI",10/11/1934,FDIC,PAYOUT,32,46
CM-109,pickens county bank,COMMERCIAL BANK,STATE,"JASPER, GA",10/13/1934,FDIC,PAYOUT,210,243
CM-110,the state bank,COMMERCIAL BANK,STATE,"SAUK CITY, WI",11/16/1934,FDIC,PAYOUT,170,195
CM-111,cliffside park title guarantee & trust co.,COMMERCIAL BANK,STATE,"GRANTWOOD, NJ",1/3/1935,FDIC,PAYOUT,590,2305
CM-112,the national bank of herndon,COMMERCIAL BANK,FEDERAL,"HERNDON, VA",1/9/1935,FDIC,PAYOUT,384,387
CM-113,palmetto state bank,COMMERCIAL BANK,STATE,"LAKE CITY, SC",3/9/1935,FDIC,PAYOUT,136,149
CM-114,the first state bank,COMMERCIAL BANK,STATE,"CHEYENNE, OK",3/25/1935,FDIC,PAYOUT,303,427
CM-115,guaranty state bank,COMMERCIAL BANK,STATE,"CLINTON, OK",4/4/1935,FDIC,PAYOUT,176,264
CM-116,the state bank of milford,COMMERCIAL BANK,STATE,"MILFORD, KS",4/10/1935,FDIC,PAYOUT,87,118
CM-117,the farmers bank,COMMERCIAL BANK,STATE,"ROYSTON, GA",5/2/1935,FDIC,PAYOUT,108,166
CM-118,first state bank of agra,COMMERCIAL BANK,STATE,"AGRA, KS",5/3/1935,FDIC,PAYOUT,96,129
CM-119,blue springs state bank,COMMERCIAL BANK,STATE,"BLUE SPRINGS, MO",6/1/1935,FDIC,PAYOUT,234,235
CM-120,anchor state bank,COMMERCIAL BANK,STATE,"WEST MILWAUKEE, WI",6/4/1935,FDIC,PAYOUT,718,891
CM-121,state bank of suamico,COMMERCIAL BANK,STATE,"SUAMICO, WI",6/24/1935,FDIC,PAYOUT,128,161
CM-122,the first national bank of pender,COMMERCIAL BANK,FEDERAL,"PENDER, NE",6/29/1935,FDIC,PAYOUT,195,301
CM-123,bank of grantville,COMMERCIAL BANK,STATE,"GRANTVILLE, GA",7/20/1935,FDIC,PAYOUT,48,91
CM-124,merchants & farmers bank,COMMERCIAL BANK,STATE,"MARIETTA, GA",7/22/1935,FDIC,PAYOUT,132,227
CM-125,the farmers national bank of sardinia,COMMERCIAL BANK,FEDERAL,"SARDINIA, OH",7/24/1935,FDIC,PAYOUT,261,308
CM-126,the commercial national bank of bradford,COMMERCIAL BANK,FEDERAL,"BRADFORD, PA",9/28/1935,FDIC,PAYOUT,4621,5162
CM-127,buna state bank,COMMERCIAL BANK,STATE,"BUNA, TX",10/23/1935,FDIC,PAYOUT,29,47
CM-128,e. p. wilbur trust company,COMMERCIAL BANK,STATE,"BETHLEHEM, PA",11/16/1935,FDIC,ACQUISITION,4357,
CM-129,presidio valley bank,COMMERCIAL BANK,STATE,"PRESIDIO, TX",11/18/1935,FDIC,PAYOUT,49,73
CM-130,lennon state bank,COMMERCIAL BANK,STATE,"LENNON, MI",11/26/1935,FDIC,PAYOUT,74,79
CM-131,bank of linden,COMMERCIAL BANK,STATE,"LINDEN, WI",11/27/1935,FDIC,PAYOUT,188,224
CM-132,farmers bank of charlton county,COMMERCIAL BANK,STATE,"KEYTESVILLE, MO",12/5/1935,FDIC,PAYOUT,229,287
CM-133,friendship state bank,COMMERCIAL BANK,STATE,"FRIENDSHIP, WI",12/7/1935,FDIC,PAYOUT,125,147
CM-134,livingston state bank,COMMERCIAL BANK,STATE,"LIVINGSTON, NJ",12/14/1935,FDIC,PAYOUT,72,91
CM-135,the farmers bank,COMMERCIAL BANK,STATE,"WEST LOUISVILLE, KY",12/16/1935,FDIC,PAYOUT,37,55
CM-136,citizens bank of erwin,COMMERCIAL BANK,STATE,"ERWIN, TN",1/10/1936,FDIC,PAYOUT,95,159
CM-137,farmers & merchants bank,COMMERCIAL BANK,STATE,"ADAMS, TN",2/1/1936,FDIC,PAYOUT,5,14
CM-138,the first national bank of clinton,COMMERCIAL BANK,FEDERAL,"CLINTON, OK",2/1/1936,FDIC,ACQUISITION,437,
CM-139,peoples bank,COMMERCIAL BANK,STATE,"COLE CAMP, MO",2/5/1936,FDIC,PAYOUT,143,186
CM-140,the ann arbor savings bank,COMMERCIAL BANK,STATE,"ANN ARBOR, MI",2/15/1936,FDIC,ACQUISITION,6758,
CM-141,farmers & mechanics bank,COMMERCIAL BANK,STATE,"ANN ARBOR, MI",2/15/1936,FDIC,ACQUISITION,3734,
CM-142,the first national bank & trust co.,COMMERCIAL BANK,FEDERAL,"ANN ARBOR, MI",2/15/1936,FDIC,ACQUISITION,1729,
CM-143,merchants and farmers bank,COMMERCIAL BANK,STATE,"STARKVILLE, MS",2/17/1936,FDIC,PAYOUT,142,213
CM-144,columbia state bank,COMMERCIAL BANK,STATE,"COLUMBIA CITY, IN",2/18/1936,FDIC,PAYOUT,775,906
CM-145,the bank of high hill,COMMERCIAL BANK,STATE,"HIGH HILL, MO",2/20/1936,FDIC,PAYOUT,93,106
CM-146,farmers bank of leonard,COMMERCIAL BANK,STATE,"LEONARD, MO",2/27/1936,FDIC,PAYOUT,51,69
CM-147,peoples bank,COMMERCIAL BANK,STATE,"FRANKLINTON, KY",3/2/1936,FDIC,PAYOUT,75,93
CM-148,farmers and merchants bank of linn,COMMERCIAL BANK,STATE,"LINN, MO",3/5/1936,FDIC,PAYOUT,198,228
CM-149,citizens bank of bosworth,COMMERCIAL BANK,STATE,"BOSWORTH, MO",3/18/1936,FDIC,ACQUISITION,80,
CM-150,farmers state bank,COMMERCIAL BANK,STATE,"AMHERST, SD",3/18/1936,FDIC,PAYOUT,59,56
CM-151,benjamin state bank,COMMERCIAL BANK,STATE,"BENJAMIN, TX",3/18/1936,FDIC,PAYOUT,181,254
CM-152,the farmers state bank,COMMERCIAL BANK,STATE,"RILEY, KS",3/24/1936,FDIC,ACQUISITION,71,
CM-153,donelson bank & trust co.,COMMERCIAL BANK,STATE,"DONELSON, TN",3/25/1936,FDIC,ACQUISITION,131,
CM-154,clifton state bank,COMMERCIAL BANK,STATE,"CLIFTON, TN",3/27/1936,FDIC,PAYOUT,22,30
CM-155,the earl park state bank,COMMERCIAL BANK,STATE,"EARL PARK, IN",3/28/1936,FDIC,PAYOUT,134,181
CM-156,leland cooperative bank,COMMERCIAL BANK,STATE,"LELAND, IA",3/31/1936,FDIC,PAYOUT,155,150
CM-157,bank of holcomb,COMMERCIAL BANK,STATE,"HOLCOMB, MS",3/31/1936,FDIC,PAYOUT,11,23
CM-158,cross plains bank,COMMERCIAL BANK,STATE,"CROSS PLAINS, TN",4/10/1936,FDIC,PAYOUT,32,50
CM-159,hardin bank,COMMERCIAL BANK,STATE,"HARDIN, KY",4/18/1936,FDIC,PAYOUT,53,72
CM-160,farmers & merchants bank,COMMERCIAL BANK,STATE,"REVILLO, SD",4/21/1936,FDIC,PAYOUT,89,128
CM-161,norborne trust company,COMMERCIAL BANK,STATE,"NORBORNE, MO",4/22/1936,FDIC,ACQUISITION,121,
CM-162,guaranty bond state bank,COMMERCIAL BANK,STATE,"MILES, TX",4/23/1936,FDIC,PAYOUT,103,202
CM-163,growers exchange bank,COMMERCIAL BANK,STATE,"ST. JOSEPH, MO",5/9/1936,FDIC,PAYOUT,43,53
CM-164,ford city state bank,COMMERCIAL BANK,STATE,"FORD CITY, MO",5/13/1936,FDIC,PAYOUT,50,62
CM-165,farmers bank of new truxton,COMMERCIAL BANK,STATE,"NEW TRUXTON, MO",5/14/1936,FDIC,PAYOUT,53,71
CM-166,koshkonong state bank,COMMERCIAL BANK,STATE,"KOSHKONONG, MO",5/23/1936,FDIC,ACQUISITION,48,
CM-167,west monroe state bank,COMMERCIAL BANK,STATE,"WEST MONROE, LA",5/23/1936,FDIC,PAYOUT,410,520
CM-168,holton state bank,COMMERCIAL BANK,STATE,"HOLTON, IN",5/28/1936,FDIC,PAYOUT,171,204
CM-169,the christian county bank,COMMERCIAL BANK,STATE,"OZARK, MO",6/5/1936,FDIC,PAYOUT,297,339
CM-170,community bank,COMMERCIAL BANK,STATE,"SMITHTON, MO",6/5/1936,FDIC,PAYOUT,50,75
CM-171,the peoples state bank of flat rock,COMMERCIAL BANK,STATE,"FLAT ROCK, IL",6/17/1936,FDIC,ACQUISITION,61,
CM-172,central bank and trust company,COMMERCIAL BANK,STATE,"NEWARK, NJ",6/29/1936,FDIC,ACQUISITION,361,
CM-173,walton equitable bank,COMMERCIAL BANK,STATE,"WALTON, KY",7/3/1936,FDIC,ACQUISITION,235,
CM-174,farmers state bank,COMMERCIAL BANK,STATE,"DENSMORE, KS",7/10/1936,FDIC,PAYOUT,55,80
CM-175,the state bank of sarcoxie,COMMERCIAL BANK,STATE,"SARCOXIE, MO",7/11/1936,FDIC,ACQUISITION,99,
CM-176,d'auria bank & trust company,COMMERCIAL BANK,STATE,"NEWARK, NJ",7/15/1936,FDIC,PAYOUT,1118,1245
CM-177,the east hampton bank & trust co.,COMMERCIAL BANK,STATE,"EAST HAMPTON, CT",7/16/1936,FDIC,PAYOUT,1050,1233
CM-178,bank of magnolia,COMMERCIAL BANK,STATE,"MAGNOLIA, MO",8/14/1936,FDIC,PAYOUT,58,70
CM-179,cumberland bank,COMMERCIAL BANK,STATE,"CUMBERLAND, IN",8/14/1936,FDIC,PAYOUT,71,87
CM-180,durham state bank,COMMERCIAL BANK,STATE,"DURHAM, MO",8/22/1936,FDIC,ACQUISITION,124,
CM-181,commercial bank of stanberry,COMMERCIAL BANK,STATE,"STANBERRY, MO",8/31/1936,FDIC,PAYOUT,128,173
CM-182,the wellsville bank,COMMERCIAL BANK,STATE,"WELLSVILLE, MO",9/12/1936,FDIC,PAYOUT,290,325
CM-183,security bank,COMMERCIAL BANK,STATE,"KINGFISHER, OK",9/15/1936,FDIC,ACQUISITION,149,
CM-184,farmers state bank,COMMERCIAL BANK,STATE,"TINDALL, MO",9/17/1936,FDIC,PAYOUT,52,70
CM-185,stover bank,COMMERCIAL BANK,STATE,"STOVER, MO",10/3/1936,FDIC,ACQUISITION,153,
CM-186,desoto bank and trust company,COMMERCIAL BANK,STATE,"MANSFIELD, LA",10/9/1936,FDIC,PAYOUT,996,1169
CM-187,the union bank,COMMERCIAL BANK,STATE,"UHRICHSVILLE, OH",10/27/1936,FDIC,PAYOUT,1992,1906
CM-188,bank of cambria,COMMERCIAL BANK,STATE,"CAMBRIA, WI",12/1/1936,FDIC,ACQUISITION,317,
CM-189,citizens state bank,COMMERCIAL BANK,STATE,"PALMYRA, IN",12/5/1936,FDIC,PAYOUT,297,350
CM-190,scottsburg state bank,COMMERCIAL BANK,STATE,"SCOTTSBURG, IN",12/5/1936,FDIC,PAYOUT,491,563
CM-191,the union state bank,COMMERCIAL BANK,STATE,"CROTHERSVILLE, IN",12/7/1936,FDIC,PAYOUT,207,248
CM-192,the brewster state bank,COMMERCIAL BANK,STATE,"BREWSTER, KS",12/7/1936,FDIC,ACQUISITION,75,
CM-193,the first state bank of lignite,COMMERCIAL BANK,STATE,"LIGNITE, ND",12/12/1936,FDIC,PAYOUT,46,83
CM-194,the first national bank of centerville,COMMERCIAL BANK,STATE,"CENTERVILLE, SD",12/18/1936,FDIC,PAYOUT,506,569
CM-195,the first international bank of williston,COMMERCIAL BANK,STATE,"WILLISTON, ND",12/19/1936,FDIC,ACQUISITION,763,
