FB_Id,CERT,ReportingDate,BankName,CITY,COUNTY,STATE,TotalOffices,TotalEmployees,TotalAssets,NetLoansLeases,NoncurrentLloansLeases,BankPremisesFixedAssets,GoodwillOtherIntangibles,TotalLiabilities,TotalDeposits,InterestBearingDeposits,BankEquityCapital,UndividedProfits,NumberCommercialBanks,NetInterestMargin,PrimeLoanRate,FederalFundsRate,GDPPerCapita,GDPGrowthPerCapitaQuarterToQuarter,GDPInBillions,GDPGrowthQuarterToQuarter,ClosingDate, Failure,
0,,15448,5/2/2010,1st american state bank of minnesota,Hancock,Stevens,MN,5,67,242871,152746,29826,5062,0,241255,230190,205863,1616,-15497,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,5/2/2010,1
1,33025,23/01/09,1st centennial bank,Redlands,San Bernardino,CA,16,211,498751,404537,85249,4546,2548,479994,471256,441742,18757,3789,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,23/01/09,1,
2,35517,7/5/2010,1st pacific bank of california,San Diego,San Diego,CA,10,66,350488,242242,35384,17030,917,341067,248134,235668,9421,9421,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,7/5/2010,1,
3,16476,7/5/2010,access bank,Champlin,Hennepin,MN,3,25,52824,27712,6046,1198,0,51634,50250,42794,1190,-2885,7175,3.3,6,2.98,48330,0.007147769,14889.45,-0.006826005,7/5/2010,1,
4,33535,19/03/10,advanta bank corp.,Draper,Salt Lake,UT,1,76,757574,335691,77872,9974,0,760802,611681,579811,-3228,-83865,6359,3.54,3.25,0.1,49719,0.029314949,14989.555,0.007274498,19/03/10,1,
5,27197,28/08/09,affinity bank,Ventura,Ventura,CA,7,136,654714,386211,50194,10136,0,645693,587626,546549,9021,-10965,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,28/08/09,1,
6,35224,18/05/12,"alabama trust bank, National Association",Sylacauga,Talladega,AL,4,45,288776,194974,45274,3301,0,276694,276081,260168,12083,-7622,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119, 18/05/12,1,
7,57759,28/10/11,all american bank,Des Plaines,Cook,IL,4,45,219424,174552,32505,9392,0,229452,204663,192825,-10028,-32161,6978,3.26,3.25,0.22,46930,-0.028967515,14375.018,-0.013855197,28/10/11,1,
8,35078,19/11/10,allegiance bank of north america,Bala Cynwyd,Montgomery,PA,1,1229,2473806,1651665,157827,3929,788,2408859,2290046,2273407,64947,-332285,7219,3.35,7.74,4.76,48330,0.007147769,14991.784,0.003569108,19/11/10,1,
9,23124,6/2/2009,alliance bank,Culver City,Los Angeles,CA,7,60,347408,297635,33071,5884,16,349393,301847,296063,-1985,-1985,6978,3.26,3.25,0.22,46930,-0.028967515,14375.018,-0.013855197,6/2/2009,1,
10,58241,24/10/08,alpha bank & trust,Alpharetta,Fulton,GA,39,509,6143903,5464540,391952,21262,36,5882663,4538607,4192140,261240,62426,6719,3.83,3.25,0.11,48303,0.029256339,14604.845,0.004328457,24/10/08,1,
11,3735,23/04/10,"amcore bank, National Association",Rockford,Winnebago,IL,1,29,195510,129794,38944,7839,0,192041,162816,158337,3469,-30636,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356, 23/04/10,1,
12,6782,19/09/08,ameribank,Northfork,Mcdowell,WV,42,381,1464127,1055635,194213,4608,9992,1461507,1163916,1160149,2620,-36955,6719,3.83,3.25,0.11,48303,0.029256339,14604.845,0.004328457,19/09/08,1,
13,35461,1/5/2009,america west bank,Layton,Davis,UT,1,29,46818,36170,3483,455,58,46097,45770,26644,721,-4044,6238,3.53,3.25,0.08,51388,0.033568656,15190.255,0.011257861,1/5/2009,1,
14,31581,20/01/12,american eagle savings bank,Boothwyn,Delaware,PA,5,101,238940,131321,11380,9191,0,231640,220834,146037,7300,1066,6938,3.32,3.25,0.18,46930,-0.028967515,14355.558,-0.001353737,20/01/12,1,
15,16730,29/01/10,american marine bank,Bainbridge Island,Kitsap,WA,6,27,107235,78816,4829,10157,0,102739,95734,78974,4496,-8052,6785,3.47,3.25,0.15,48303,0.029256339,14541.901,0.009680557,29/01/10,1,
16,18806,19/03/10,american national bank,Parma,Cuyahoga,OH,9,85,578638,425116,117880,11168,0,591750,537223,503463,-13112,-39070,6402,3.56,3.25,0.17,49719,0.029314949,14881.301,-0.003862373,19/03/10,1,
17,57943,24/04/09,american southern bank,Kennesaw,Cobb,GA,2,75,419741,230412,7451,5199,9585,416221,395868,343977,3520,-34212,6978,3.26,3.25,0.15,46930,-0.028967515,14375.018,-0.013855197,24/04/09,1,
18,8266,17/04/09,american sterling bank,Sugar Creek,Jackson,MO,7,68,239916,174570,48022,12949,0,233294,208775,189917,6622,-27738,6238,3.53,3.25,0.07,51388,0.033568656,15190.255,0.011257861,17/04/09,1,
19,57432,4/2/2011,american trust bank,Roswell,Fulton,GA,1,12,29259,13724,4527,587,350,28949,26867,20604,310,-3748,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,4/2/2011,1,
20,57794,23/10/09,american united bank,Lawrenceville,Gwinnett,GA,3,34,142729,105756,9221,6243,188,140013,131631,126277,2716,-11647,6297,3.55,3.25,0.09,49719,0.029314949,15021.149,0.002107734,23/10/09,1,
21,57724,16/04/10,americanfirst bank,Clermont,Lake,FL,3,39,101026,67135,14026,410,0,99540,99067,78236,1486,-29442,6164,3.41,3.25,0.16,51388,0.033568656,15362.415,0.004668095,16/04/10,1,
22,29776,4/12/2009,amtrust bank,Cleveland,Cuyahoga,OH,26,409,3172915,2042156,278054,38932,55698,3087376,2420738,2072709,85461,-396982,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,4/12/2009,1,
23,33901,9/5/2008,"anb financial, NA",Bentonville,Benton,AR,67,1728,11438990,7742366,812366,79358,286772,11162536,8558609,8477924,276456,68668,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457, 9/05/08,1,
24,33989,19/03/10,appalachian community bank,Ellijay,Gilmer,GA,1,21,144688,91150,9508,255,0,142113,131510,127327,2575,-16827,6785,3.47,3.25,0.15,48303,0.029256339,14541.901,0.009680557,19/03/10,1,
25,58495,17/12/10,"appalachian community bank, FSB",McCaysville,Fannin,GA,2,20,49612,33764,2276,1165,0,48816,47100,41989,796,-4169,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457, 17/12/10,1,
26,31813,4/6/2010,arcola homestead savings bank,Arcola,Douglas,IL,4,63,634901,459703,185296,6605,0,612248,603733,583723,22653,-25347,6978,3.26,3.61,0.16,46930,-0.028967515,14375.018,-0.013855197,4/6/2010,1,
27,58420,3/6/2011,atlantic bank and trust,Charleston,Charleston,SC,1,12,62383,39472,6908,2197,0,61019,55906,52765,1364,-6682,6238,3.53,3.25,0.08,51388,0.033568656,15190.255,0.011257861,3/6/2011,1,
28,57213,20/05/11,atlantic southern bank,Macon,Bibb,GA,12,106,586586,463297,52127,19877,558,579760,539422,484138,6826,-70497,6785,3.47,3.25,0.15,48303,0.029256339,14541.901,0.009680557,20/05/11,1,
29,13272,11/2/2011,badger state bank,Cassville,Grant,WI,5,50,112144,70275,15718,6086,0,112468,112193,100815,-324,-4326,6402,3.56,3.25,0.18,49719,0.029314949,14881.301,-0.003862373,11/2/2011,1,
30,2994,22/07/11,bank of choice,Greeley,Weld,CO,15,146,447185,243005,19506,17068,1103,440471,398181,377809,6714,-16408,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,22/07/11,1,
31,34959,16/01/09,bank of clark county,Vancouver,Clark,WA,2,20,84763,64675,8531,3048,0,83681,69254,66183,1082,-5243,6855,3.37,3.25,0.16,46930,-0.028967515,14402.477,0.003268351,16/01/09,1,
32,58197,17/09/10,bank of ellijay,Ellijay,Gilmer,GA,2,18,99461,70529,21324,2849,0,98190,94591,91813,1271,-9529,6402,3.56,3.25,0.16,49719,0.029314949,14881.301,-0.003862373,17/09/10,1,
33,18321,23/10/09,bank of elmwood,Racine,Racine,WI,10,163,709171,449819,161183,13500,0,703041,697109,605830,6130,-5870,6719,3.83,3.25,0.11,48303,0.029256339,14604.845,0.004328457,23/10/09,1,
34,57360,28/05/10,bank of florida - southeast,Fort Lauderdale,Broward,FL,1,17,143729,110699,23177,1898,0,141971,141573,132539,1758,-12318,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,28/05/10,1,
35,35106,28/05/10,bank of florida - southwest,Naples,Collier,FL,1,34,1260354,777427,80469,646,0,1212792,866492,864639,47562,-66799,6938,3.32,3.25,0.18,46930,-0.028967515,14355.558,-0.001353737,28/05/10,1,
36,57814,28/05/10,bank of florida - tampa,Tampa,Hillsborough,FL,1,8,44546,35445,1894,314,0,41285,41204,38858,3261,2561,6402,3.56,3.25,0.16,49719,0.029314949,14881.301,-0.003862373,28/05/10,1,
37,10054,19/03/10,bank of hiawassee,Hiawassee,Towns,GA,1,9,18682,13670,997,331,1418,15888,13566,11744,2794,180,7137,3.31,5.66,2.61,48330,0.007147769,14963.357,0.004963716,19/03/10,1,
38,9268,5/3/2010,bank of illinois,Normal,Mclean,IL,7,152,1700117,1132591,88109,13230,8713,1660688,1253835,1191186,39336,-98566,6238,3.53,3.25,0.08,51388,0.033568656,15190.255,0.011257861,5/3/2010,1,
39,8265,22/01/10,bank of leeton,Leeton,Johnson,MO,5,57,278860,175896,29583,9042,0,277468,266589,216227,1392,-23152,6164,3.41,3.25,0.13,51388,0.033568656,15362.415,0.004668095,22/01/10,1,
40,17309,5/6/2009,bank of lincolnwood,Lincolnwood,Cook,IL,2,34,186677,144621,32828,1393,0,183466,182441,170010,3211,611,6359,3.54,3.25,0.1,49719,0.029314949,14989.555,0.007274498,5/6/2009,1,
41,22637,5/8/2011,bank of shorewood,Shorewood,Will,IL,4,53,156218,112204,16919,8189,0,153124,141877,127512,3094,-4794,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,5/8/2011,1,
42,20408,23/09/11,bank of the commonwealth,Norfolk,Norfolk City,VA,1,10,81564,61662,19989,38,0,80030,79652,78829,1534,-18862,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119,23/09/11,1,
43,26759,27/04/12,bank of the eastern shore,Cambridge,Dorchester,MD,2,11,41252,29394,5103,428,0,41576,41434,38847,-324,-9041,6297,3.55,3.25,0.1,51388,0.033568656,15021.149,0.002107734,27/04/12,1,
44,22528,5/8/2011,bank of whitman,Colfax,Whitman,WA,1,20,40270,22032,2670,999,0,41606,41312,37981,-1336,-14225,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457,5/8/2011,1,
45,22754,10/7/2009,bank of wyoming,Thermopolis,Hot Springs,WY,5,66,520146,362035,51891,8257,0,523035,494505,449705,-2888,-40911,6623,3.77,3.25,0.16,48303,0.029256339,14745.933,0.009660356,10/7/2009,1,
46,32218,30/10/09,"bank usa, N.A.",Phoenix,Maricopa,AZ,16,152,730981,475448,50637,35117,0,725214,702231,650024,5767,-70460,6297,3.55,3.25,0.09,49719,0.029314949,15021.149,0.002107734, 30/10/09,1,
47,19869,27/01/12,bankeast,Knoxville,Knox,TN,1,17,81843,44027,21861,3623,0,83553,80688,68303,-1710,-13506,6785,3.47,3.25,0.12,48303,0.029256339,14541.901,0.009680557,27/01/12,1,
48,34103,17/07/09,bankfirst,Sioux Falls,Minnehaha,SD,1,24,120246,69531,8498,270,0,119766,113243,105880,479,-35175,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,17/07/09,1,
49,58222,29/07/11,"bankmeridian, N.A.",Columbia,Richland,SC,1,20,70188,57169,24520,1197,0,67087,66598,59043,3101,-3441,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351, 29/07/11,1,
50,32247,21/05/09,"bankunited, FSB",Coral Gables,Miami-Dade,FL,17,219,669830,441572,119263,11508,1708,639342,532520,477705,30488,-9570,6938,3.32,3.25,0.15,46930,-0.028967515,14355.558,-0.001353737, 21/05/09,1,
51,1252,15/01/10,barnes banking company,Kaysville,Davis,UT,4,32,92528,73066,9177,3008,0,93279,92352,79820,-751,-6281,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351,15/01/10,1,
52,21495,15/04/11,bartow county bank,Cartersville,Bartow,GA,1,3,19259,9889,0,1033,0,19268,17548,16908,-9,-9,6208,3.45,3.25,0.1,51388,0.033568656,15291.035,0.006634517,15/04/11,1,
53,35462,9/7/2010,bay national bank,Baltimore,Baltimore City,MD,2,33,129253,72419,15676,2816,0,129170,129023,94259,83,-15259,6164,3.41,3.25,0.16,51388,0.033568656,15362.415,0.004668095,9/7/2010,1,
54,57669,30/07/10,bayside savings bank,Port Saint Joe,Gulf,FL,8,152,981913,524909,165283,4541,137,976384,919606,887302,5529,-49410,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,30/07/10,1,
55,17792,30/04/10,bc national banks,Butler,Bates,MO,4,42,214275,139790,19416,6342,0,212085,206490,192486,2191,-12809,6359,3.54,3.25,0.14,49719,0.029314949,14989.555,0.007274498,30/04/10,1,
56,34242,9/4/2010,beach first national bank,Myrtle Beach,Horry,SC,1,15,83828,56187,5355,65,0,82058,78549,72443,1770,-605,6402,3.56,3.25,0.16,49719,0.029314949,14881.301,-0.003862373,9/4/2010,1,
57,10440,4/12/2009,benchmark bank,Aurora,Kane,IL,1,10,100659,53211,4655,1830,0,102862,102463,101686,-2203,-9259,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,4/12/2009,1,
58,32347,14/10/11,"blue ridge savings bank, Inc.",Asheville,Buncombe,NC,3,29,110723,67189,5352,4958,0,108588,104021,91849,2135,-5609,6297,3.55,3.25,0.1,51388,0.033568656,15021.149,0.002107734, 14/10/11,1,
59,28312,28/08/09,bradford bank,Baltimore,Baltimore,MD,5,93,328422,155753,34331,12239,0,321437,316877,272527,6985,-12944,6036,3.37,3.25,0.16,52726,0.026037207,15384.254,0.000224436,28/08/09,1,
60,27808,17/09/10,bramble savings bank,Milford,Clermont,OH,7,58,168551,126672,12706,5822,18,166621,157149,130924,1930,-13066,6719,3.83,3.25,0.11,48303,0.029256339,14604.845,0.004328457,17/09/10,1,
61,57736,11/9/2009,brickwell community bank,Woodbury,Washington,MN,3,32,52916,33903,4941,1018,0,52585,50178,41996,332,-4236,7080,3.31,5,2,48330,0.007147769,14891.643,-0.004792641,11/9/2009,1,
62,22853,23/04/10,broadway bank,Chicago,Cook,IL,1,21,300674,244025,60176,527,0,284779,282578,282426,15895,-34223,6978,3.26,3.25,0.22,46930,-0.028967515,14375.018,-0.013855197,23/04/10,1,
63,26619,16/04/10,butler bank,Lowell,Middlesex,MA,5,45,130411,60530,12460,3297,0,128823,126993,117035,1588,608,6570,3.73,3.25,0.19,49719,0.029314949,14845.458,0.006749319,16/04/10,1,
64,33219,20/08/10,butte community bank,Chico,Butte,CA,13,118,535724,404633,71670,8654,0,527011,443481,424783,8713,-96472,6623,3.77,3.25,0.16,48303,0.029256339,14745.933,0.009660356,20/08/10,1,
65,34659,30/10/09,california national bank,Los Angeles,Los Angeles,CA,24,314,955112,660999,99547,20823,0,932149,908132,716224,22963,-3284,6719,3.83,3.25,0.13,48303,0.029256339,14604.845,0.004328457,30/10/09,1,
66,34692,11/2/2011,canyon national bank,Palm Springs,Riverside,CA,2,14,96002,61340,3189,2479,0,95031,89723,65054,971,-21353,6110,3.39,3.25,0.13,52726,0.026037207,15380.802,0.001196882,11/2/2011,1,
67,34639,10/4/2009,cape fear bank,Wilmington,New Hanover,NC,4,82,266816,162769,30279,809,4405,253067,223164,200985,13749,-18227,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,10/4/2009,1,
68,22130,21/08/09,capitalsouth bank,Birmingham,Jefferson,AL,9,103,518151,437902,35490,2947,214,476862,462611,434389,41289,-35164,6785,3.47,3.25,0.12,48303,0.029256339,14541.901,0.009680557,21/08/09,1,
69,35372,8/6/2012,carolina federal savings bank,Charleston,Charleston,SC,5,79,148218,83664,9631,5401,3777,144515,140185,125412,3703,-13384,6855,3.37,3.25,0.16,46930,-0.028967515,14402.477,0.003268351,8/6/2012,1,
70,58352,26/02/10,carson river community bank,Carson City,Douglas,NV,4,54,182561,136999,13802,1038,0,182581,171365,158339,-20,-31395,6208,3.45,3.25,0.1,51388,0.033568656,15291.035,0.006634517,26/02/10,1,
71,34430,5/3/2010,centennial bank,Ogden,Weber,UT,4,22,242339,171142,42819,2095,0,244172,193803,184854,-1833,-16852,6402,3.56,3.25,0.17,49719,0.029314949,14881.301,-0.003862373,5/3/2010,1,
72,5687,24/02/12,central bank of georgia,Ellaville,Schley,GA,1,4,15760,12882,0,176,0,14634,14540,14458,1126,1126,7314,3.33,8.25,5.26,47987,0.034894002,14726.022,0.000617792,24/02/12,1,
